,YearStart,YearEnd,LocationAbbr,LocationDesc,StratificationCategory1,Stratification1,StratificationCategoryID1,StratificationID1,LocationID,OverweightValue,ObeseValue,TvValue,SodaValue,VegetableValue,FruitValue,PhysicalActivityValue,PhysicalEducationValue
99,2011,2011,MT,Montana,Grade,11th,GRADE,GRADE11,30,14.2,11.8,29.2,32.6,43.0,49.8,45.6,30.7
102,2011,2011,NJ,New Jersey,Grade,9th,GRADE,GRADE09,34,18.0,9.1,31.5,14.5,39.7,35.2,29.4,48.9
103,2005,2005,KS,Kansas,Total,Total,OVR,OVERALL,20,14.8,9.9,35.7,26.9,40.4,41.0,22.4,22.8
107,2003,2003,MI,Michigan,Grade,11th,GRADE,GRADE11,26,14.3,12.9,31.4,26.6,38.4,35.6,27.3,25.1
109,2011,2011,US,National,Grade,11th,GRADE,GRADE11,59,19.8,10.6,19.2,14.0,39.9,41.0,26.4,10.0
110,2009,2009,NJ,New Jersey,Gender,Male,GEN,MALE,34,11.0,6.4,14.9,13.5,30.8,33.0,19.7,18.6
112,2013,2013,UT,Utah,Total,Total,OVR,OVERALL,49,14.4,12.8,33.6,27.3,36.9,34.0,30.8,33.1
113,2005,2005,MD,Maryland,Total,Total,OVR,OVERALL,24,14.1,7.8,28.3,23.6,38.1,43.8,18.5,22.9
115,2011,2011,NM,New Mexico,Gender,Female,GEN,FEMALE,35,16.2,16.5,25.4,14.8,38.0,52.4,28.4,6.4
116,2003,2003,MI,Michigan,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,26,15.2,13.0,32.4,27.8,37.7,36.0,28.7,31.5
118,2011,2011,US,National,Total,Total,OVR,OVERALL,59,15.9,17.8,22.2,16.1,39.7,37.0,35.9,30.7
119,2001,2001,NJ,New Jersey,Race/Ethnicity,Hispanic,RACE,RACEHIS,34,15.5,16.8,25.0,24.3,38.0,35.4,36.0,33.8
121,2015,2015,US,National,Gender,Male,GEN,MALE,59,17.3,13.6,33.9,29.7,39.2,36.7,30.7,41.3
122,2007,2007,AR,Arkansas,Grade,11th,GRADE,GRADE11,5,12.2,10.1,20.4,39.5,31.4,44.0,26.1,26.2
125,2007,2007,MD,Maryland,Gender,Female,GEN,FEMALE,24,14.9,21.7,30.9,29.9,47.6,48.9,28.6,25.8
126,2009,2009,US,National,Gender,Male,GEN,MALE,59,16.1,15.7,23.4,13.4,45.0,42.0,19.3,14.7
127,2015,2015,MS,Mississippi,Gender,Male,GEN,MALE,28,16.2,17.3,23.7,20.7,44.6,44.7,21.9,11.2
131,2003,2003,US,National,Grade,10th,GRADE,GRADE10,59,12.0,7.5,16.6,15.1,41.1,40.0,17.2,8.2
132,2007,2007,VT,Vermont,Gender,Male,GEN,MALE,50,13.4,11.0,27.1,28.1,37.1,40.9,31.4,32.5
133,2017,2017,UT,Utah,Grade,11th,GRADE,GRADE11,49,18.1,10.9,20.1,14.5,35.7,44.8,17.0,13.2
135,2015,2015,AK,Alaska,Gender,Female,GEN,FEMALE,2,14.6,14.5,20.0,15.0,40.3,42.0,26.9,18.9
136,2009,2009,VT,Vermont,Race/Ethnicity,Asian,RACE,RACEASN,50,15.2,13.8,19.8,26.6,36.2,38.4,33.5,21.6
143,2009,2009,US,National,Grade,12th,GRADE,GRADE12,59,15.4,11.9,35.7,31.1,44.8,40.6,24.1,67.5
144,2013,2013,NC,North Carolina,Gender,Female,GEN,FEMALE,37,16.2,21.5,26.3,27.1,51.4,48.7,27.6,26.5
145,2001,2001,MT,Montana,Grade,9th,GRADE,GRADE09,30,20.7,18.9,29.3,18.6,41.7,41.0,25.9,24.8
146,2009,2009,IL,Illinois,Total,Total,OVR,OVERALL,17,15.5,20.3,22.8,20.7,41.9,47.1,29.3,30.1
148,2013,2013,KS,Kansas,Race/Ethnicity,Hispanic,RACE,RACEHIS,20,19.7,16.2,31.2,33.0,43.3,49.6,19.8,19.4
151,2009,2009,NY,New York,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,36,17.4,10.6,18.0,7.9,37.4,37.8,14.9,8.3
152,2009,2009,KY,Kentucky,Grade,10th,GRADE,GRADE10,21,15.2,13.4,23.0,29.6,40.4,46.5,25.6,19.2
